epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2858,2.31364,3.52325,2.31031,0.00951,0.66349,0.04052,0.01793,1.99204,3.4666,2.12088,4.287e-05,4.287e-05,4.287e-05
2,35.855,2.084,3.43436,2.16179,0.00982,0.67429,0.05462,0.02202,2.05258,3.44686,2.10065,9.90397e-05,9.90397e-05,9.90397e-05
3,50.9896,1.9424,3.35892,2.06084,0.00905,0.61841,0.08187,0.03326,2.08179,3.45072,2.14868,0.000154078,0.000154078,0.000154078
4,66.0551,1.93786,3.29601,2.03339,0.00959,0.67937,0.09458,0.03942,2.09546,3.43415,2.1716,0.000207984,0.000207984,0.000207984
5,80.9183,1.94764,3.12318,2.0575,0.01018,0.70857,0.12561,0.04732,2.06293,3.40096,2.12827,0.000260758,0.000260758,0.000260758
6,95.6064,1.81712,2.95403,1.9765,0.00949,0.64762,0.11509,0.04131,1.95222,3.39151,2.06187,0.000312401,0.000312401,0.000312401
7,110.373,1.83138,2.93376,1.956,0.00953,0.62921,0.09403,0.03246,2.01738,3.34227,2.13416,0.000362912,0.000362912,0.000362912
8,125.114,1.89625,2.77925,1.97758,0.0094,0.62667,0.11615,0.03524,2.02739,3.30239,2.20047,0.000412291,0.000412291,0.000412291
9,139.706,1.77933,2.68953,1.89816,0.72141,0.05333,0.12398,0.04198,1.93778,3.2455,2.19491,0.000460538,0.000460538,0.000460538
10,154.998,1.8117,2.55576,1.90995,0.72876,0.09333,0.06743,0.02045,2.10447,3.28326,2.45913,0.000507654,0.000507654,0.000507654
11,170.108,1.75619,2.58383,1.89481,0.52943,0.13587,0.12195,0.03815,2.12426,3.15532,2.43805,0.000553637,0.000553637,0.000553637
12,184.889,1.76486,2.44934,1.89303,0.54062,0.13841,0.13565,0.04042,2.23697,2.96996,2.47146,0.000598489,0.000598489,0.000598489
13,199.676,1.77969,2.38881,1.83614,0.46172,0.19937,0.12717,0.04345,2.14954,3.04287,2.35121,0.00064221,0.00064221,0.00064221
14,214.214,1.8484,2.49431,1.91655,0.48555,0.23166,0.12006,0.04354,2.0416,2.91348,2.27669,0.000684798,0.000684798,0.000684798
15,228.799,1.70808,2.33392,1.79538,0.51544,0.2138,0.11187,0.03921,2.08487,2.94603,2.41768,0.000726255,0.000726255,0.000726255
16,243.645,1.74471,2.27178,1.80229,0.54904,0.27675,0.15422,0.05674,2.12285,2.87703,2.35597,0.00076658,0.00076658,0.00076658
17,258.313,1.73239,2.28454,1.82137,0.55856,0.24762,0.19112,0.06812,2.16798,2.9253,2.31082,0.000805773,0.000805773,0.000805773
18,273.348,1.69216,2.22404,1.76837,0.55117,0.22857,0.23412,0.08159,2.1424,2.76408,2.25907,0.000843835,0.000843835,0.000843835
19,288.031,1.65677,2.12264,1.76919,0.52094,0.18857,0.2068,0.07083,2.14804,2.85211,2.2695,0.000880764,0.000880764,0.000880764
20,302.764,1.61303,2.10489,1.75607,0.73818,0.1327,0.18482,0.06774,2.19055,2.74051,2.27647,0.000916562,0.000916562,0.000916562
21,317.346,1.56768,2.07961,1.72756,0.5377,0.20658,0.20102,0.05622,2.28288,3.00284,2.40142,0.000951228,0.000951228,0.000951228
22,332.064,1.65442,2.12684,1.78351,0.54992,0.31619,0.26872,0.07167,2.36754,3.00264,2.59422,0.000984762,0.000984762,0.000984762
23,347.134,1.61432,2.0686,1.73544,0.23053,0.45968,0.24509,0.0717,2.29821,2.97427,2.54292,0.00101717,0.00101717,0.00101717
24,362.324,1.58911,2.06482,1.73275,0.21034,0.44635,0.20272,0.06615,2.3381,2.92723,2.61556,0.00104844,0.00104844,0.00104844
25,377.411,1.58023,1.95617,1.72509,0.35027,0.33068,0.19269,0.05881,2.32104,2.98249,2.58223,0.00107857,0.00107857,0.00107857
26,392.438,1.464,1.9779,1.6235,0.30562,0.37341,0.20134,0.06513,2.28304,2.86988,2.54358,0.00107532,0.00107532,0.00107532
27,407.424,1.52328,1.97987,1.67233,0.36575,0.35619,0.2191,0.07384,2.15627,2.95969,2.44745,0.00106118,0.00106118,0.00106118
28,422.672,1.60939,1.94833,1.72788,0.39741,0.46476,0.2805,0.11832,2.26284,3.37309,2.54318,0.00104703,0.00104703,0.00104703
29,437.781,1.61593,1.96745,1.74878,0.18163,0.49966,0.22435,0.08782,2.367,3.53834,2.62478,0.00103288,0.00103288,0.00103288
30,453.03,1.55903,1.83227,1.68403,0.23278,0.4381,0.17028,0.07084,2.421,3.90425,2.60205,0.00101873,0.00101873,0.00101873
31,468.344,1.4794,1.80381,1.60437,0.45858,0.24952,0.18304,0.07164,2.43797,3.57836,2.56109,0.00100459,0.00100459,0.00100459
32,483.604,1.52863,1.81365,1.62531,0.52701,0.16698,0.21402,0.07649,2.53038,3.82585,2.64441,0.00099044,0.00099044,0.00099044
33,498.844,1.50627,1.75997,1.623,0.45389,0.23619,0.15117,0.06246,2.49232,4.1297,2.61346,0.000976293,0.000976293,0.000976293
34,514.238,1.4572,1.70641,1.58195,0.51175,0.19111,0.14648,0.06106,2.43219,3.8853,2.62248,0.000962146,0.000962146,0.000962146
35,529.548,1.50469,1.738,1.60924,0.1695,0.40063,0.16708,0.06386,2.42613,3.28298,2.58955,0.000947999,0.000947999,0.000947999
36,544.798,1.47976,1.68772,1.5798,0.23166,0.38959,0.17024,0.06135,2.50072,3.18844,2.67517,0.000933851,0.000933851,0.000933851
37,560.181,1.43444,1.74419,1.58655,0.20798,0.36886,0.23839,0.07534,2.3981,2.92704,2.56381,0.000919704,0.000919704,0.000919704
38,575.42,1.4147,1.69407,1.55691,0.25978,0.4673,0.27415,0.09113,2.21322,2.82538,2.40728,0.000905557,0.000905557,0.000905557
39,591.148,1.39473,1.6253,1.53229,0.28606,0.59187,0.28504,0.09912,2.19268,2.80917,2.4292,0.00089141,0.00089141,0.00089141
40,606.576,1.43108,1.71143,1.59143,0.21887,0.46657,0.21802,0.07371,2.17381,2.83712,2.36651,0.000877263,0.000877263,0.000877263
41,621.919,1.36027,1.54371,1.51005,0.26616,0.36635,0.21435,0.06637,2.22869,3.12937,2.42462,0.000863116,0.000863116,0.000863116
42,637.158,1.35065,1.52649,1.50833,0.27008,0.29206,0.1822,0.06347,2.44712,3.16592,2.59861,0.000848969,0.000848969,0.000848969
43,652.501,1.30993,1.42602,1.45947,0.24085,0.28559,0.16331,0.06034,2.41855,3.11307,2.52588,0.000834822,0.000834822,0.000834822
44,667.82,1.34578,1.48173,1.47346,0.27041,0.30794,0.19723,0.06848,2.35781,3.03252,2.41507,0.000820675,0.000820675,0.000820675
45,683.659,1.36805,1.52691,1.50129,0.30484,0.36635,0.23422,0.07241,2.24748,2.95149,2.30835,0.000806528,0.000806528,0.000806528
46,699.379,1.31685,1.46694,1.44844,0.2246,0.37714,0.17577,0.05571,2.31133,3.04959,2.39084,0.00079238,0.00079238,0.00079238
47,714.481,1.33681,1.54785,1.43547,0.24392,0.22857,0.17617,0.05176,2.44273,3.0235,2.50729,0.000778233,0.000778233,0.000778233
48,729.628,1.26737,1.38041,1.44093,0.27779,0.31619,0.17874,0.0582,2.3041,2.96055,2.43892,0.000764086,0.000764086,0.000764086
49,744.909,1.27681,1.45218,1.41749,0.23151,0.38801,0.22708,0.0751,2.10583,2.74276,2.28702,0.000749939,0.000749939,0.000749939
50,760.834,1.16076,1.32749,1.3584,0.58448,0.2819,0.24068,0.0852,1.98268,2.77404,2.25664,0.000735792,0.000735792,0.000735792
51,776.106,1.32447,1.49319,1.46251,0.395,0.34875,0.26658,0.1033,1.94064,2.7771,2.23155,0.000721645,0.000721645,0.000721645
52,791.34,1.24197,1.33987,1.41398,0.50795,0.33968,0.28732,0.10187,2.01909,2.70839,2.26219,0.000707498,0.000707498,0.000707498
53,806.625,1.29197,1.4581,1.46771,0.32196,0.43073,0.29046,0.10964,2.07579,2.64899,2.28537,0.000693351,0.000693351,0.000693351
